Course	Room	Teacher	Time	Students
1	4	5	1	2 7 13 15 16 25 26 28 30 31 37
2	1	2	4	11 13 21 36 43 50
3	1	6	1	4 6 8 10 12 17 18 22 34 41 45
4	2	6	2	3 15 17 29 35 38 39 40 43 44 46 49
5	2	3	4	2 3 9 10 18 19 20 22 24 35 37 41 46 47
6	4	2	3	3 16 17 18 23 32 39 42 43 45 47 48 49
7	3	7	4	5 7 27 28 38 40 44
8	4	4	4	6 12 17 23 25 26 32 34
9	2	4	3	1 4 5 6 9 11 13 15 20 21 24 28 29 31 34 37 38
10	3	3	3	7 22 25 27 40
11	4	5	2	1 4 23 30 36 41 48
12	1	1	2	8 14 16 19 24 25 27 31 32 33 37 42 50
13	1	1	3	2 8 10 12 14 26 30 41 46
14	2	7	1	1 3 5 14 19 20 23 24 27 29 32 33 35 36 42 46 47 49
