Course	Room	Teacher	Time	Students
1	ESTW307	330	57	1 213 273 335 392 595 648 687 758 871 999 1075
2	SHAAUD	153	7	1 48 115 127 176 181 312 333 416 468 474 510 525 599 659 679 951 961 975 1022 1128 1185
3	STOAUD	105	51	14 20 22 48 101 129 203 238 446 502 574 598 602 872 928 947 999 1023 1040 1131 1132 1155
4	STOAUD	88	39	1 4 6 11 17 20 34 35 68 188 199 204 205 206 212 215 225 226 229 233 251 252 280 285 293 296 302 324 336 357 363 380 386 387 405 413 441 443 453 454 461 467 481 495 499 500 502 520 527 554 573 588 590 594 608 613 614 618 622 625 647 649 656 678 684 693 700 702 713 731 734 738 740 745 747 754 759 766 771 792 801 829 851 861 877 888 912 933 939 942 957
5	SHAAUD	137	1	1 47 68 81 202 227 268 423 456 599 695 701 704 736 806 813 884 926 927 937 940 1073 1120 1122
6	STOAUD	67	35	2 15 85 91 144 414 438 487 602 745 776 823 898 1058
7	STOAUD	44	24	2 10 139 165 192 209 213 290 398 438 542 591 594 602 635 767 792 915 954 1002 1026 1049 1076 1088 1113 1136
8	STOAUD	230	26	44 53 65 121 129 173 265 268 273 290 320 330 416 417 486 782 789 827 872 1014 1024 1108 1122 1137 1167 1171
9	STOAUD	26	50	2 695 956
10	STOAUD	218	29	3 116 191 312 387 762 782 801 872 1132 1150 1156
11	ESTW307	254	46	3 7 12 70 184 232 288 372 414 428 445 471 554 555 684 694 711 714 783 824 905 912 1066 1069 1073 1080 1166
12	SHAAUD	77	47	3 4 7 9 11 13 16 35 43 47 158 181 204 206 214 226 233 255 285 288 296 304 313 377 380 398 408 443 451 463 467 468 481 489 527 531 536 554 583 584 585 588 591 624 626 642 673 689 693 732 734 753 754 776 813 829 851 926 927 981 1001 1008 1010 1022 1026 1028 1042 1066 1114 1116 1132 1162 1173
13	STOAUD	188	4	4 19 22 49 122 124 133 179 209 222 254 403 409 469 485 603 626 817 830 855 910 935 987 1013 1074 1093 1134
14	STOAUD	4	40	6 11 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 499 538 568 574 584 598 638 652 653 716 730 750 752 765 766 767 823 891 977 990 1017 1023 1025 1037 1080 1092 1116 1161 1165 1170
15	SHAAUD	22	10	4 9 13 17 37 90 111 125 127 141 184 215 275 280 359 423 425 447 507 508 592 631 637 687 698 752 756 777 813 847 885 891 894 895 912 975 1046 1069 1113 1165 1184
16	STOAUD	33	15	5 22 38 66 78 106 139 170 180 196 236 250 324 336 364 408 411 441 447 483 495 592 700 728 750 752 759 766 777 895 905 957 960 1017 1060 1069 1079 1103 1104 1120 1125 1162 1170 1175 1183
17	STOAUD	56	6	5 22 38 66 170 414 447 592 728 766 895 1017 1103 1120 1162 1175 1183
18	STOAUD	39	8	5 19 34 38 39 68 110 116 139 162 165 174 210 229 318 342 364 368 386 403 413 453 455 461 467 481 500 520 585 613 669 678 679 738 740 750 776 820 836 939 957 992 1025 1026 1028 1031 1039 1057 1058 1064 1092 1120 1139
19	SHAAUD	134	5	5 24 51 297 302 364 381 393 399 455 606 608 715 735 738 746 800 853 877 960 973 974 1039 1091
20	STOAUD	168	30	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936
21	SHAAUD	180	31	6 24 109 152 222 225 259 298 347 370 388 431 445 484 496 500 511 517 537 555 604 608 664 710 746 824 908 929 971 1005 1047 1111
22	STOAUD	27	11	63 96 109 393 511 569 586 587 697 773 908 968 1047 1157
23	SHAAUD	188	6	6 70 336 416 419 885 920 965 1034
24	SHA410	30	6	49 221 233 263 310 342 534 636 657 676 684 686 725 823 939 1070 1128 1153
25	SHA410	71	43	16 237 315 367 438 544 655 859 860 941 982 1094
26	STOAUD	85	21	75 204 544 676 889
27	STOAUD	202	46	303 426 720 1051 1071 1078
28	SHA410	272	25	25 104 181 197 249 254 302 363 420 428 455 498 520 542 546 629 650 699 741 758 787 806 864 874 911 960 966 996 1114 1161
29	SHA410	145	22	12 26 35 154 170 258 282 318 335 380 385 436 537 647 656 662 716 759 767 823 861 933 978 981 1010 1037 1060 1079 1103 1125 1127 1128 1177
30	STOAUD	261	14	32 739 828 1002
31	STOAUD	196	1	52 57 131 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097 1098 1155 1181
32	SHA410	178	30	34 78 80 116 262 282 312 447 449 627 737 787 804 989 991
33	STOAUD	212	56	76 121 249 326 348 716 724 782 951 1037 1042
34	STOAUD	116	48	8 10 43 76 202 363 456 549 606 635 721 722 723 724 775 787 793 1044 1094
35	ESTW307	261	16	8 77 185 258 321 357 372 383 422 712 861 950 958 990 1063 1107
36	STOAUD	62	52	33 41 102 126 137 241 303 321 379 383 384 401 565 580 593 701 712 858 864 909 997 1107 1145
37	STOAUD	54	54	9 35 43 44 47 127 170 190 210 253 290 467 495 542 584 609 614 638 647 656 662 861 891 924 1022 1053 1092 1161 1162 1183
38	STOAUD	257	16	9 114 483 518 558 779 806 821 922 1031 1139 1149 1155
39	STOAUD	238	5	9 93 114 168 207 223 276 367 406 444 557 620 709 771 821 841 849 1052 1111 1139 1161 1164
40	SHAAUD	276	8	419 425 803 1040
41	SHAAUD	259	42	10 39 72 86 174 227 246 401 412 510 717 718 868 984 1109 1115
42	SHAAUD	318	28	10 11 18 36 79 169 199 224 270 306 337 377 413 527 580 724 750 793 801 824 992 1024 1031 1064 1129 1136
43	SHAAUD	4	48	89 100 155 161 166 192 203 239 243 277 296 357 415 623 638 659 670 704 705 807 843 846 961 1042 1074 1080 1163
44	STOAUD	134	18	94 254 340 341 370 447 448 486 503 527 614 630 726 919 934 950 1016
45	STOAUD	266	27	12 26 39 70 87 174 188 199 236 252 258 326 335 381 403 421 423 470 523 524 534 540 543 587 602 609 624 626 631 633 654 662 678 779 867 885 901 973 1061 1076 1092 1121 1129 1171
46	SHAAUD	167	39	13 433 569 579 737
47	SHAAUD	297	9	13 92 111 193 301 433 489 490 703 714 731 737 847 881 928 973 1031 1131 1136
48	SHA410	122	17	56 77 182 455 528 622 762 769 853 859 860 868 1041 1157
49	STOAUD	68	25	13 92 193 301 433 489 490 714 731 847 859 881 928 1131 1136
50	SHAAUD	122	18	16 300 659 902 1078 1146 1154
51	SHA410	77	31	14 49 150 396 451 498 675 744 786 898 955 996
52	HLS105	21	21	15 896
53	SHAAUD	330	26	15 572 854
54	ESTW307	36	33	16 237 315 438 450 643 664 792 860 982 1055 1094 1140
55	ESTW307	85	22	17 592 704 722
56	ESTW307	48	50	166 380 486 591 807 836
57	ESTW307	48	17	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153
58	SHA410	72	4	20 28 55 119 190 211 260 285 383 432 490 509 535 570 637 816 825 887 917 921 942 1008 1035 1091
59	SHA410	43	27	17 18 54 92 100 154 158 162 237 270 293 374 385 532 749 805 1040 1042 1043 1065 1083 1105 1107 1153
60	STOAUD	292	44	18 23 24 80 96 99 100 110 114 125 137 167 177 195 236 262 263 284 339 362 402 424 445 471 484 507 538 580 585 593 628 637 651 669 804 825 826 830 879 926 927 937 974 1011 1027 1070 1083 1091 1134 1152 1166
61	STOAUD	119	2	50 103 218 406 418 422 459 472 478 519 586 620 768 830 923 1005 1012 1016 1033 1043 1063 1068 1089 1109 1135 1143 1144 1176
62	STOAUD	31	32	18 23 24 55 72 80 96 99 110 114 119 125 137 152 167 177 193 195 205 222 230 259 260 262 263 284 298 299 309 339 343 370 374 388 392 393 402 404 424 445 471 484 489 490 507 509 530 538 555 580 583 597 613 628 637 642 651 669 677 689 710 721 746 804 821 825 826 830 871 877 879 884 887 921 932 937 974 1011 1027 1069 1091 1111 1123 1134 1152 1166
63	STOAUD	296	3	20 47 129 251 252 501 633 647 724 874 1064
64	STOAUD	41	45	122 135 151 479 688 745 910 1139
65	SHAAUD	239	35	21 139 143 346 391 443 456 591 677 747
66	ESTW307	300	8	21 128 176 249 330 348 451 498 670 993 996
67	ESTW307	88	23	21 166 643 658 704
68	SHA410	151	41	22 66 67 78 297 483 633 728 735 737 881 896 905 1043 1104 1136 1150 1183
69	SHA410	293	42	23 69 361 683 744 985 1011 1084 1145 1174
70	SHAAUD	43	34	402 643 792 943
71	ESTW307	202	43	855
72	HLS105	133	5	25 34 158 288 466 471 481 503 588 651 713 743 747 775 834 957 1021 1080 1094 1118 1156 1170
73	SHA410	257	28	25 52 60 70 84 112 179 312 322 368 469 529 535 605 617 662 686 688 714 744 831 876 979 1103
74	SHAAUD	227	11	100 119 311 323 442 560 730 1062
75	STOAUD	143	31	27 375 616 780 1003 1150
76	SHA410	118	46	241 309 719 749 800 964 1018
77	ESTW307	196	45	27 211 283 848 903 925 1135 1169
78	SHA410	196	29	28 188 197 202 273 537 546 795 827 868 961 1060 1073
79	ESTW307	76	35	28 39 56 104 162 385 439 461 601 606 699 708 807 820 839 902 933 938 970 1060
80	SHAAUD	245	20	76 144 176 216 249 262 263 275 330 511 550 826 1024 1026 1161
81	SHAAUD	182	43	29 1179
82	SHAAUD	195	15	29 64 171 202 223 311 379 417 549 623 627 748 775 789 822 940 951 1050 1099 1148
83	HLS105	95	15	186 446 790
84	STOAUD	329	17	30 368 437 550 641 791 832 1068 1163
85	ESTW307	132	39	31 404 437 697 811 838 886 1091 1117
86	SHA410	43	26	220 223 438 735
87	HLS105	112	16	33 105 210 546 574 733 825 993 1009
